dose_character	treatment	name
10	S1048	Tozasertib (VX-680, MK-0457)
10	S1048	Tozasertib (VX-680, MK-0457)
10	S1048	Tozasertib (VX-680, MK-0457)
10	S1048	Tozasertib (VX-680, MK-0457)
10	S1048	Tozasertib (VX-680, MK-0457)
10	S1048	Tozasertib (VX-680, MK-0457)
10	S1048	Tozasertib (VX-680, MK-0457)
10	S1048	Tozasertib (VX-680, MK-0457)
100	S1048	Tozasertib (VX-680, MK-0457)
100	S1048	Tozasertib (VX-680, MK-0457)
100	S1048	Tozasertib (VX-680, MK-0457)
100	S1048	Tozasertib (VX-680, MK-0457)
100	S1048	Tozasertib (VX-680, MK-0457)
100	S1048	Tozasertib (VX-680, MK-0457)
100	S1048	Tozasertib (VX-680, MK-0457)
100	S1048	Tozasertib (VX-680, MK-0457)
1000	S1048	Tozasertib (VX-680, MK-0457)
1000	S1048	Tozasertib (VX-680, MK-0457)
1000	S1048	Tozasertib (VX-680, MK-0457)
1000	S1048	Tozasertib (VX-680, MK-0457)
1000	S1048	Tozasertib (VX-680, MK-0457)
1000	S1048	Tozasertib (VX-680, MK-0457)
1000	S1048	Tozasertib (VX-680, MK-0457)
1000	S1048	Tozasertib (VX-680, MK-0457)
10000	S1048	Tozasertib (VX-680, MK-0457)
10000	S1048	Tozasertib (VX-680, MK-0457)
10000	S1048	Tozasertib (VX-680, MK-0457)
10000	S1048	Tozasertib (VX-680, MK-0457)
10000	S1048	Tozasertib (VX-680, MK-0457)
10000	S1048	Tozasertib (VX-680, MK-0457)
10000	S1048	Tozasertib (VX-680, MK-0457)
10000	S1048	Tozasertib (VX-680, MK-0457)
10	S1053	Entinostat (MS-275)
10	S1053	Entinostat (MS-275)
10	S1053	Entinostat (MS-275)
10	S1053	Entinostat (MS-275)
10	S1053	Entinostat (MS-275)
10	S1053	Entinostat (MS-275)
100	S1053	Entinostat (MS-275)
100	S1053	Entinostat (MS-275)
100	S1053	Entinostat (MS-275)
100	S1053	Entinostat (MS-275)
100	S1053	Entinostat (MS-275)
100	S1053	Entinostat (MS-275)
1000	S1053	Entinostat (MS-275)
1000	S1053	Entinostat (MS-275)
1000	S1053	Entinostat (MS-275)
1000	S1053	Entinostat (MS-275)
1000	S1053	Entinostat (MS-275)
